,furnitured,residential site,heating_system,number_floors,Title,number_rooms,net_area,price,ad_date,district,number_bathroom,county,id,Deposit,building_age,floor_wthn_bldng,total_area
95,Evet,Evet,Klima,4,"MERKEZİ KONUMDA, HAVUZLU, OTOPARKLI LÜKS SİTEDE. FULL EŞYALI 1+1",1+1,60.0,1000 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657196341,1.000,4,Yüksek Giriş,70
96,Evet,Hayır,Güneş Enerjisi,8,A K MUTLUDAN ANTKOPLARDA DSİ VE YENİ KAYMAKAMLIK KARŞISINDA 3+1,3+1,130.0,850 TL,06 Şubat 2019,Dokuma,1,Kepez,610536808,Belirtilmemiş,16-20 arası,8,140
97,Hayır,Hayır,Klima,3,ANTALYA KEPEZ KÜLTÜRDE KİRALIK 2+1 LÜKS DAİRE-K-289,2+1,90.0,850 TL,06 Şubat 2019,Ahatlı,1,Kepez,657192283,850,3,3,100
98,Evet,Hayır,Klima,3,BELEK MERKEZE YAKIN KİRALIK EV,1+1,45.0,1000 TL,06 Şubat 2019,Belek,1,Serik,638501610,Belirtilmemiş,4,Kot 1,58
99,Evet,Hayır,Klima,4,Side cumartesi pazari yani eşyali 2+1 Daire,2+1,70.0,1000 TL,06 Şubat 2019,Manavgat,1,Manavgat,657196313,1.000,11-15 arası,3,75
100,Evet,,Klima,4,HURMADA MERKEZİ KONUMDA EŞYALI KİRALIK DAİRE.,1+1,60.0,1600 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657191196,1.600,5-10 arası,1,70
101,Hayır,Evet,Yok,3,GÜZELOBA'DA 3+1 DUBLEKS YENİ DAİRE,3+1,125.0,1900 TL,06 Şubat 2019,Lara,1,Muratpasa,657185354,1.900,2,2,125
102,Evet,Hayır,Klima,4,GÜLLERPINARINDA DENİZE 50 m EŞYALI KİRALIK DAİRE,2+1,100.0,1500 TL,06 Şubat 2019,Alanya,1,Alanya,657178805,Belirtilmemiş,16-20 arası,1,100
103,Evet,Hayır,Klima,3,KAVAKLI DA FULL EŞYALI KİRALIK DAIRE 2+1,2+1,88.0,1000 TL,06 Şubat 2019,Manavgat,1,Manavgat,657176832,1.000,2,Yüksek Giriş,90
104,Hayır,Hayır,Klima,4,HURMADA GÜVENLİKLİ SİTEDE 2+1 DAİRE,2+1,95.0,1200 TL,06 Şubat 2019,Merkez,1,Konyaaltı,657176015,1.200,4,2,110
105,Hayır,Hayır,Klima,4,HAVUZLU SİTEDE LÜKS DAİRE,2+1,100.0,700 TL,06 Şubat 2019,Yenigun,1,Muratpasa,639055217,Belirtilmemiş,0,3,115
106,Evet,,Klima,6,LARA LIFE EMLAKTAN 1+1 SİTE İÇERİSİNDE FULL EŞYALI DAİRE.,1+1,60.0,1400 TL,06 Şubat 2019,Lara,1,Muratpasa,657165469,1.400,5-10 arası,Yüksek Giriş,70
107,Evet,Hayır,Klima,4,1+1 LÜKS SIFIR EŞYALI KATTA DAİRE EVBUL EMLAK !,2+0,48.0,1200 TL,06 Şubat 2019,Ahatlı,1,Kepez,644046023,1.250,0,4,50
108,Hayır,Hayır,Klima,2,KİRALIK!!__­KÜTÜKÇÜ'de 2+1 80m2 GENİŞLETİLMİŞ SIFIR GİRİŞ KAT,2+1,65.0,550 TL,06 Şubat 2019,Erenkoy,1,Kepez,644043349,550,0,Giriş Katı,80
109,Evet,Hayır,Klima,2,"KONYAALTI, ALTINKUM'DA 3+1, EŞYALI, KİRALIK, DUBLEX DAİRE.......",3+1,160.0,1650 TL,06 Şubat 2019,Arapsuyu,2,Konyaaltı,657149892,1.650,5-10 arası,2,170
110,Hayır,Hayır,Klima,5,BÜYÜK ŞEHİR BELEDİYE YANI 3+1 125 M2 1100 TL KİRALIK DAİRE,3+1,125.0,1100 TL,06 Şubat 2019,Yenigun,1,Muratpasa,642986050,1.000,5-10 arası,4,135
111,Hayır,,Yok,4,m.kavağında bekara veya küçük aileye uygun fiyatlı 2+1 daire.,2+1,75.0,650 TL,06 Şubat 2019,Guzeloluk,1,Muratpasa,657148671,650,11-15 arası,4,85
112,Evet,Hayır,Klima,4,Konyaaltı LIMAN MAH 2+1 full MOBLELI kiralık daire,2+1,80.0,1300 TL,05 Şubat 2019,Arapsuyu,1,Konyaaltı,656975986,1.300,5-10 arası,Kot 4,85
113,Evet,Hayır,Klima,5,Sahibinden Eşyalı Ferah Daire,2+1,85.0,1600 TL,05 Şubat 2019,Merkez,2,Konyaaltı,656934481,1.600,3,Kot 2,90
114,Evet,,Klima,15,ALANYA GOLD CİTY HOTEL'DE 2+1 KİRALIK DAİRE 250 TL,2+1,85.0,250 TL,05 Şubat 2019,Alanya,2,Alanya,592138841,Belirtilmemiş,5-10 arası,6,90
115,Hayır,Hayır,Klima,3,"KISA SÜRELİĞİNE ERENKÖYDE SIFIR GÜNISILI, ASANSÖRLÜ LÜX DAİRE",2+1,85.0,700 TL,05 Şubat 2019,Erenkoy,1,Kepez,656963417,700,0,3,95
116,Evet,Hayır,Klima,6,Sahibinden eşyalı 3+1,3+1,120.0,1750 TL,05 Şubat 2019,Ahatlı,2,Kepez,656926737,2.000,11-15 arası,4,138
117,Evet,,Klima,4,FULL EŞYALI DAĞ MANZARALI GÜVENLİKLİ SİTEDE KİRALIK 2+1 DUBLEKS,2+1,87.0,1250 TL,06 Şubat 2019,Merkez,2,Konyaaltı,657403298,Belirtilmemiş,2,4,95
